会社名,代表者,HP,電話番号,住所,会社メール,その他連絡方法,営業担当名,初回コンタクト日,属性,確度,状況,備考,掲載サイト,2回目以降最新コンタクト日
原田産業株式会社,原田 暁,https://www.haradacorp.co.jp/,,東京都千代田区丸の内JPタワー26階,,https://www.haradacorp.co.jp/contact/,経岩 宗高,3/5,その他,E：未接触,未契約,,CloudLinks,
株式会社ディライトソリューションズ,吉原大樹,https://delight-solutions.co.jp/,,〒163-1320 東京都新宿区西新宿6-5-1新宿アイランドタワー20F,,https://tarent.jp/form-sales/form/,経岩 宗高,3/5,開発,E：未接触,未契約,"PM
１週間以内に返信なければクラウドリンクスから応募",CloudLinks,
株式会社ドリームホップ,岡座 守,https://www.dreamhop.com/,,〒102-0072　東京都千代田区飯田橋1-8-10 クリエイトビル,,https://www.dreamhop.com/contact/,経岩 宗高,3/5,その他,E：未接触,未契約,,CloudLinks,
株式会社クリーク･アンド･リバー社,黒崎 淳,https://datasolution-cr.com/,,〒105-0004東京都港区新橋四丁目1番1号　新虎通りCORE,,https://datasolution-cr.com/contact/,経岩 宗高,3/5,その他,A：プロスペクト,NDA済,上場企業　900億の売り上げ　SalesFoceの開発をしたい,CloudLinks,
株式会社Undershaft,岩田瑛士,https://www.under-shaft.com/,,東京都文京区湯島2-24-6,,https://docs.google.com/forms/d/e/1FAIpQLSfmbB5MeOcdNK7vBinjaY_sAekunE7zEI7m5FXJ-Va3nCFezA/viewform,経岩 宗高,3/5,開発,E：未接触,未契約,,CloudLinks,
NOVEL株式会社,岡田 徹,https://n-v-l.co/,,〒104-0061　東京都中央区銀座1-15-4銀座1丁目ビル7階,,https://docs.google.com/forms/d/e/1FAIpQLSdHTMXZFS2daA6Ca4McesSVrSx_BQwqNgJazyFR3govc3Gr3w/viewform,経岩 宗高,3/6,開発（エージェント）,E：未接触,未契約,,クラウドテック,
株式会社ギークフィード,内信史,https://www.geekfeed.co.jp/,,東京都台東区小島2丁目20番7号 扶桑御徒町ビル2F,,https://www.geekfeed.co.jp/contact/,経岩 宗高,3/6,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
株式会社シーディーアイ,濵岡　邦雅,https://www.cd-inc.co.jp/,,〒104-0031東京都中央区京橋3丁目1番1号東京スクエアガーデン14階,,https://www.cd-inc.co.jp/contact/,経岩 宗高,3/6,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
メディカルローグ株式会社,野口 宏人,https://m-d-l.co.jp/,,〒107-0051東京都港区元赤坂1丁目7番18号元赤坂イースト107,,https://m-d-l.co.jp/contact/,経岩 宗高,3/6,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
株式会社TENET,花房 弘也,https://tenet.co.jp/,,東京都港区虎ノ門4-3-1 城山トラストタワー21F,,https://tenet.co.jp/contact/,経岩 宗高,3/6,開発,E：未接触,未契約,医療機関向けDX支援事業,クラウドテック,
株式会社セントテラ,渡邉正義,https://www.senttera.net/,,茨城県取手市桜が丘３丁目２０番１２号,,https://www.senttera.net/contact,経岩 宗高,3/7,開発,E：未接触,未契約,,クラウドテック,
株式会社ABEJA,岡田 陽介,https://www.abejainc.com/,,〒108-0073 東京都港区三田一丁目1番14号Bizflex麻布十番2階,,https://www.abejainc.com/contact,経岩 宗高,3/7,開発,E：未接触,未契約,Python,クラウドテック,
株式会社ダイナトレック,佐伯譲二,https://www.dynatrek.co.jp/,,〒106-0032東京都港区六本木5-11-16国際文化会館,,https://www.dynatrek.co.jp/contact/,経岩 宗高,3/7,開発,E：未接触,未契約,,クラウドテック,
JTAインフォコム株式会社,,https://www.jtainfocom.co.jp/,,〒900-0021　沖縄県那覇市泉崎1丁目20番1号　カフーナ旭橋A街区3階,,https://www.jtainfocom.co.jp/contact.php,経岩 宗高,3/8,開発,E：未接触,未契約,"C#,JavaScript",クラウドテック,
株式会社ジェイアール総研情報システム,後藤　浩一,https://www.jrsi.co.jp/,,東京都国立市北1-7-23　国立ビル3F,,042-580-6682,経岩 宗高,3/8,開発,E：未接触,未契約,,クラウドテック,
株式会社D-Standing,江本 稔弘,https://www.d-standing.co.jp/,03-6272-6238,〒102-0082東京都千代田区一番町4-4　THE CROSS 一番町5階,,https://www.d-standing.co.jp/contact/,経岩 宗高,3/8,開発（エージェント）,E：未接触,未契約,,クラウドテック,
株式会社ジーネクスト,横治 祐介,https://www.gnext.co.jp/,,〒102-0093 東京都千代田区平河町２丁目８－９ HB平河町ビル３F,,https://www.gnext.co.jp/contact/,経岩 宗高,3/8,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
株式会社メディエイド,矢島弘士,https://mediaid.co.jp/,,〒101-0047 東京都千代田区内神田3-2-1喜助内神田3丁目ビル3階,,https://mediaid.co.jp/contact/,経岩 宗高,3/8,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
アン・コンサルティング株式会社,久利 鋭一,https://www.anconsulting.jp/,,〒150-6029東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー29F,,https://www.anconsulting.jp/contacts,経岩 宗高,3/8,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
株式会社アイリッジ,小田健太郎,https://iridge.jp/,,〒106-0041 東京都港区麻布台1-11-9 BPRプレイス神谷町10F,kenjiro.umemoto@iridge.jp,https://iridge.jp/contact/contact_sales/,経岩 宗高,3/8,開発（プロダクト）,C：サスペクト,未契約,Kotolin,クラウドテック,
株式会社Chai,西澤 理花,https://www.chai.co.jp/,,東京都渋谷区鶯谷町２−７ エクセルビル5階,,https://www.chai.co.jp/contact,経岩 宗高,3/11,プロダクト,E：未接触,未契約,,チョクフリ,
FractaLeap株式会社,北林　康弘,https://fracta-leap.com/home,,東京都新宿区新宿2-8-15 PARKFRONT SHINJUKU 3階,,https://fracta-leap.com/contact,経岩 宗高,3/11,プロダクト,E：未接触,未契約,,チョクフリ,
株式会社アーリーワークス,小林 聖,https://e-arly.works/ja,,東京都台東区上野5丁目7番11号 MRビル 3F,,https://e-arly.works/ja/contact,経岩 宗高,3/11,開発（プロダクト）,E：未接触,未契約,Blockchain,チョクフリ,2023/05/08
株式会社 Chat&Messenger,田辺　哲,https://chat-messenger.com/,,東京都港区赤坂1-12-32アーク森ビル12F,,https://chat-messenger.com/contactus,経岩 宗高,3/11,プロダクト,E：未接触,未契約,,チョクフリ,
株式会社建設技術研究所,中村　哲己,http://www.ctie.co.jp/,,東京都中央区日本橋浜町3-21-1（日本橋浜町Ｆタワー）,,https://www.ctie.co.jp/contact/,経岩 宗高,3/11,開発（プロダクト）,E：未接触,未契約,"vueもしくはreact, Python",クラウドテック,
Sustineri株式会社,針生 洋介,https://sustineri.co.jp/,,東京都渋谷区神宮前5-53-67コスモス青山サウス3階（ASAC内）,,https://sustineri.co.jp/contact/,経岩 宗高,3/12,開発（プロダクト）,E：未接触,未契約,,クラウドワークス,
アジト株式会社,高井 康辰,https://www.agito-inc.com/,,東京都千代田区麹町4-8-1THE MOCK-UP 210,,https://www.agito-inc.com/contact,経岩 宗高,3/12,開発（プロダクト）,E：未接触,未契約,マーケティングテクノロジーの企画・開発・運営,クラウドテック,
crage株式会社,川口 享平,https://crage.co.jp/,,東京都新宿区西五軒町6-10 秋山ビル5F,,https://crage.co.jp/contact/,経岩 宗高,3/12,開発,E：未接触,未契約,,クラウドテック,
株式会社Scale Management,髙師 修平,https://scale-management.co.jp/,,東京都渋谷区猿楽町4-10HAMMER by co-ba 2F,,https://scale-management.co.jp/company/contact/,経岩 宗高,3/12,その他,E：未接触,未契約,,クラウドテック,
ミッドナイトブレックファスト株式会社,喜多紀正,https://www.mnbf.jp/,,東京都渋谷区恵比寿4-7-6,info@mnbf.jp,,経岩 宗高,3/12,その他,E：未接触,未契約,,クラウドテック,
株式会社LASSIC,若山 幸司,https://www.lassic.co.jp/,,東京都港区高輪1-3-13 NBF高輪ビル 4F,,https://www.lassic.co.jp/,経岩 宗高,3/13,開発（プロダクト）,E：未接触,未契約,,SNS,
株式会社ウエストゲイト,岡田 正則,https://www.westgate.co.jp/,,静岡県御殿場市萩原1173番地の1,,https://www.westgate.co.jp/M-5.html,経岩 宗高,3/13,その他,E：未接触,未契約,,クラウドテック,
株式会社R&D,伊藤 博隆,https://randd-inc.com/,,東京都港区南青山5-4-27,,https://randd-inc.com/contact,経岩 宗高,3/13,開発,E：未接触,未契約,,チョクフリ,
SGビジネス株式会社,渡邊　一平,https://www.sgb.co.jp/,,神奈川県横浜市都筑区中川中央1－37－23 ルネス・ヴィクトワール2Ｆ,,https://www.sgb.co.jp/partner/,経岩 宗高,3/13,開発（プロダクト）,E：未接触,未契約,,チョクフリ,
株式会社DYMキャリア,,https://dymcareer.jp/,,東京都品川区大崎 1-11-2ゲートシティ大崎 イーストタワー10階,,https://dymcareer.jp/contact/,経岩 宗高,3/13,エージェント,E：未接触,未契約,,Tech Direct,
株式会社シューマツワーカー,松村 幸弥,https://company.shuuumatu-worker.jp/,,東京都渋谷区円山町28-3 いちご渋谷道玄坂ビル5F,,https://company.shuuumatu-worker.jp/contact,経岩 宗高,3/14,エージェント,E：未接触,未契約,,Tech Direct,
株式会社TERAZ,今中 更,https://teraz.jp/,,東京都渋谷区桜丘町26-1 セルリアンタワー 15F,,https://teraz.jp/contact/,経岩 宗高,3/14,エージェント,D：対応しない,未契約,フォーム送れないのでサイト内で直接応募,Tech Direct,
株式会社ビズリンク,姜 大成,https://corp.bizlink.io/,,東京都品川区西五反田2-19-3五反田第一生命ビル5F,,https://freelance.bizlink.io/contact,経岩 宗高,3/14,エージェント,E：未接触,未契約,フォーム送れないのでサイト登録でコンタクト,Tech Direct,
ROSCA株式会社,田原 貴一,https://rosca.jp/,,東京都千代田区東神田1丁目10−7 BIZCORE東神田 10階,,https://docs.google.com/forms/d/e/1FAIpQLSd2GE3_Z41SxrvEpD-NrurqcsDDxwe2TY57EXpXBOr88qr3Zg/viewform,経岩 宗高,3/14,エージェント,E：未接触,未契約,,Tech Direct,
株式会社ユウクリ,高橋　直道,https://www.y-create.co.jp/,,東京都渋谷区笹塚1-55-7 マルエスファーストビル 7F,,https://www.y-create.co.jp/company/inquiry,経岩 宗高,3/14,開発（エージェント）,D：対応しない,未契約,,Tech Direct,
Branding Engineer,,https://b-engineer.co.jp/,,〒150-0002　東京都渋谷区渋谷2-22-3　渋谷東口ビル6F,,https://b-engineer.co.jp/contact/,斉藤 雄星,2023/07/26,開発,C：サスペクト,未契約,,,
株式会社マークス,,https://www.marksnet.co.jp/index.html,03-3516-3135,東京都千代田区大手町2丁目2番1号 新大手町ビル 7階　〒100-0004,,https://ecmarks.com/msite/mailform/contact.php,斉藤 雄星,2023/08/03,開発・エージェント,B：リード,未契約,,,
株式会社Flat Engine,,https://flat-engine.com/about/,050-1731-1075,東京都荒川区南千住7-22-3-903,,calendar.google.com/calendar/u/0/r/week,斉藤 雄星,2023/08/07,開発,C：サスペクト,未契約,,,
Tentative Project 株式会社,,http://tenpjt.com/company,03-6826-0694,〒114-0013 東京都北区東田端1-13-10 ツインビル田端Ａ棟6F,,https://tenpjt.com/contact,斉藤 雄星,2023/08/10,開発（エージェント）,C：サスペクト,未契約,,,
Global Synergy Solutions,,https://gss-c.biz/company/,,〒110-0005東京都台東区上野6丁目1番6号御徒町グリーンハイツ1005号,info@gss-c.biz,https://gss-c.biz/company/#contact,斉藤 雄星,2023/08/14,開発,C：サスペクト,未契約,,,
株式会社 Connearth,,https://www.conn-earth.net/,050-5873-4764,〒179-0072 東京都練馬区光が丘3-7-2-404,info@conn-earth.net,https://www.conn-earth.net/contact.html,斉藤 雄星,2023/08/16,その他,D：対応しない,未契約,,,
株式会社OMNIA,,https://omnia.tokyo/,03-6805-0365,〒150-0041 東京都渋谷区神南1丁目18番2号 フレーム神南坂 5階,,https://omnia.tokyo/contact/,斉藤 雄星,2023/08/18,その他,D：対応しない,未契約,,,
シェアジャパン 株式会社,,https://www.sharejapan.jp/,,〒180-0002 東京都調布市国領町8-15-20,info@sharejapan.jp,,斉藤 雄星,2023/08/21,開発（エージェント）,C：サスペクト,未契約,,,
株式会社Bizgem,,https://bizgem.jp/,,〒112-0004 東京都文京区後楽2-3-11エヌケービル3F,,https://bizgem.jp/,斉藤 雄星,2023/08/30,プロダクト,C：サスペクト,未契約,,,
Japan Vietnam Business ,,https://jvb-corp.com/about/,024-6253-3311,ハノイ市　Hanoi市Nam Tu Liem区To Huu通り RomanPlazaビル B2棟25階,,https://jvb-corp.com/contact,斉藤 雄星,2023/09/05,開発,C：サスペクト,未契約,,,
株式会社アスライク,,https://www.ki-matsudo.jp/,047-362-0888,〒271-0077 千葉県松戸市根本7番地17 渋谷ビル 1階,,https://www.ki-matsudo.jp/contact/,斉藤 雄星,2023/09/06,その他,D：対応しない,未契約,,,
株式会社 NSD,,https://www.nsd.co.jp/,03-3257-1130,〒101-0063 東京都千代田区神田淡路町2-101　ワテラスタワー,,https://www.nsd.co.jp/other/inqindex.html,斉藤 雄星,2023/09/11,Sier・コンサル,C：サスペクト,未契約,,,
Heyday株式会社,,https://hydy.jp/company/,,東京都中野区弥生町2-41-17-No.6,,https://hydy.jp/contact/,斉藤 雄星,2023/09/22,プロダクト,C：サスペクト,未契約,,,
Seeink株式会社,,https://seeink.jp/,03-4540-1254,〒150-0022東京都渋谷区恵比寿南3丁目1-1,,https://seeink.jp/contact/,斉藤 雄星,2023/10/03,プロダクト,C：サスペクト,未契約,,,
株式会社サンテック,,http://www.suntec.co.jp/,0567-32- 1126,〒496－0915 愛知県愛西市本部田町宮ノ切105番地,,http://www.suntec.co.jp/%e5%96%b6%e6%a5%ad%e7%9b%b8%e8%ab%87%e7%aa%93%e5%8f%a3/,経岩 宗高,2023/10/12,開発,C：サスペクト,未契約,,,
株式会社タニタ,,https://www.tanita.co.jp/,,〒174-8630 東京都板橋区前野町1-14-2,,https://www.tanita.co.jp/support/contact/,経岩 宗高,2023/09/30,プロダクト,B：リード,未契約,,,
イー・ガーディアン,,https://www.e-guardian.co.jp/,0120-665-046,〒105-0001 東京都港区虎ノ門1-2-8 虎ノ門琴平タワー8F,,https://www.e-guardian.co.jp/company/outline.html,経岩 宗高,2023/10/18,開発（エージェント）,C：サスペクト,未契約,,,
株式会社NoBelongs,,https://nobelongs.co.jp/,,〒150-0001 東京都渋谷区神宮前6-23-4 桑野ビル2F,,https://nobelongs.co.jp/contact/,斉藤 雄星,2023/10/26,エージェント,D：対応しない,未契約,,,
株式会社Growth One,,https://growth-one.co.jp/,,〒150-0002 東京都渋谷区渋谷2-22-3渋谷東口ビル6F,,https://growth-one.co.jp/contact,斉藤 雄星,2023/11/02,開発（エージェント）,C：サスペクト,未契約,,,
株式会社waku-waku-tech,,https://waku-waku-tech.com/news,,〒101-0047 東京都千代田区内神田1-9-5 SF内神田ビル 8F,,https://waku-waku-tech.com/contact,斉藤 雄星,2023/11/15,開発（プロダクト）,C：サスペクト,未契約,,,
インターセクト株式会社,,https://www.intersect.inc/,03-6824-6244,〒150-0001東京都渋谷区神宮前6-25-8 神宮前コーポラス402,,https://intersect.inc/contact,経岩 宗高,2023/11/15,開発,C：サスペクト,未契約,,,
TRAYDSTREAMジャパン合同会社,,https://traydstream.com/tokyo-metropolitan-governments-green-finance-subsidy-program/,44 (020) 3141 3345,"341 Garratt Lane, Wandsworth,London, England SW18 4DX",info@traydstream.com,https://traydstream.com/tokyo-metropolitan-governments-green-finance-subsidy-program/,経岩 宗高,2023/11/22,,C：サスペクト,未契約,,,
株式会社ナンバーワンソリューションズ,鈴木 壮治,https://no1s.biz/,03-6412-8470,〒153-0043 東京都目黒区東山3-15-1　出光池尻ビル7F,info@no1s.biz,https://no1s.biz/contact/,経岩 宗高,2023/11/22,開発,C：サスペクト,未契約,イベントで会った,協業募集,2024/05/31
KOBE CITY GOVERNMENT,,https://www.city.kobe.lg.jp/,078-331-8181,〒650-8570 神戸市中央区加納町6-5-1,,https://www.city.kobe.lg.jp/a57337/homepage/contact.html,経岩 宗高,2023/11/15,その他,C：サスペクト,未契約,,,
株式会社レトリバ,,https://retrieva.jp/,,〒171-0021 東京都豊島区西池袋1-11-1 メトロポリタンプラザビル14F WeWork内,,,斉藤 雄星,2023/12/13,開発（プロダクト）,C：サスペクト,未契約,,,
Amazon Web Services Japan,,https://aws.amazon.com/jp/,,,,,斉藤 雄星,2023/12/18,,D：対応しない,未契約,,,
日立製作所,,https://www.hitachi.co.jp/,03-3258-1111,100-8280 東京都千代田区丸の内一丁目6番6号,,https://www.hitachi.co.jp/support/inquiry/index.html,斉藤 雄星,2023/12/19,Sier・コンサル,C：サスペクト,未契約,,,
株式会社ATTIVITA,,https://docs.google.com/spreadsheets/d/1ASXN5F5h5y_MuBnmesc7J0Dk-wmXZmUL/edit#gid=1011839861&range=C49,,,,,斉藤 雄星,2023/12/20,,C：サスペクト,未契約,,,
Peach株式会社,,https://extrapeach.jp/,050-1751-2285,〒100-0005 東京都千代田区丸の内1-8-3 丸の内トラストタワー本館20階,,,斉藤 雄星,2023/12/21,プロダクト,C：サスペクト,未契約,,,
アスエネ株式会社,,https://earthene.com/,,〒105-0001 東京都港区虎ノ門1-10-5 KDX虎ノ門一丁目ビル WeWork 4階,,https://corp.earthene.com/form/contact,斉藤 雄星,2023/12/25,その他,C：サスペクト,未契約,,,
株式会社アカリク,,https://acaric.co.jp/,03-5464-2125,〒150-0002 東京都渋谷区渋谷2-1-5 青山第一田中ビル2階,,https://acaric.co.jp/contact/,斉藤 雄星,2024/01/15,その他,D：対応しない,未契約,,,
株式会社DEITA,,https://deita.co.jp/,,〒173-0026 東京都板橋区中丸町11-2 ワコーレ要町ビル7F,,https://deita.co.jp/contact/,斉藤 雄星,2024/01/18,その他,D：対応しない,未契約,,,
FREEDGE,,https://www.freedge.co.jp/,,東京都江東区有明3-7-26 有明フロンティアビルB棟9階,,https://www.freedge.co.jp/contact,斉藤 雄星,2024/01/22,エージェント,C：サスペクト,未契約,,,
合同会社アニス,,http://www.anyse.co.jp/,03-6826-0359,〒151-0053 東京都渋谷区代々木1-30-14 天翔オフィス代々木ANNEX 014号室,,http://www.anyse.co.jp/contact/,経岩 宗高,2024/01/24,エージェント,C：サスペクト,未契約,,,
電通ベトナム,藤沢,https://www.dentsu.com.vn/vn/,,,,,経岩 宗高,,,B：リード,未契約,,,
株式会社ACWEB,,https://acweb.co.jp/,,〒141-0031 東京都品川区西五反田8-8-15　カーニープレイス五反田 4F,,https://acweb.co.jp/contact/,経岩 宗高,2024/02/01,開発,C：サスペクト,未契約,,,
Polaris Plus,,https://polarisplus.co.jp/,,,,https://polarisplus.co.jp/#contact,経岩 宗高,2024/02/02,開発,C：サスペクト,未契約,,,
INTLOOP,,https://www.intloop.com/,03-5544-8040,〒107-0052 東京都港区赤坂２丁目９−１１ オリックス赤坂２丁目ビル 6F,,https://www.intloop.com/contact/,経岩 宗高,2024/02/02,開発（エージェント）,C：サスペクト,未契約,,,
ダイクカンパニー,不明,https://daiku-company.com/,05037169100,〒230-0062 神奈川県横浜市鶴見区豊岡町３２−２７,,https://daiku-company.com/contact,経岩 宗高,2024/02/02,エージェント,D：対応しない,未契約,,,
ROSCA株式会社,,https://rosca.jp/,03-6384-1596,〒101-0032 東京都千代田区東神田1丁目10−7 BIZCORE東神田 10階,,https://rosca.jp/#js-footer,経岩 宗高,2024/02/05,エージェント,C：サスペクト,未契約,,,
Vareal株式会社(バレアル カブシキガイシャ),,https://www.vareal.co.jp/company/#outline,092-419-2498,〒810-0001 福岡県福岡市中央区天神１丁目４−１ 西日本新聞会館 １６階,,,,,開発,E：未接触,未契約,,,
株式会社PARA SOL,,https://para-sol.biz/,096-285-8137,〒861-2202 熊本県上益城郡益城町田原2081-28,,https://para-sol.biz/contact/,,,開発,E：未接触,未契約,,,
株式会社LITS,,https://lits-jp.com/system/,03-6262-9559,〒101-0036 東京都千代田区神田北乗物町16　英ビル1F,,https://lits-jp.com/contact/,,,開発,E：未接触,未契約,,,
ジャパンシステム株式会社,,https://www.japan-systems.co.jp/company/outline/,,〒151-8404 東京都渋谷区代々木1-22-1　JRE代々木一丁目ビル,,https://www.japan-systems.co.jp/inquiry/,,,開発（プロダクト）,E：未接触,未契約,,,
株式会社カスタマトリックス,,https://www.customatrix.co.jp/company/index.html#company04,03-6709-9831,〒160-0022　東京都新宿区新宿2-15-22 Landwork新宿ビル 7F,,https://www.customatrix.co.jp/contact/form_page/,,,開発,E：未接触,未契約,,,
株式会社リアソルマネージメント,,https://reasol.jp/,03-5937-3106,〒160-0023 東京都新宿区西新宿7-11-9 Barbizon87 6F,,https://reasol.jp/contact/,,,開発,E：未接触,未契約,,,
株式会社プレスク,,https://presq.co.jp/,03-6260-8335,〒101-0047 東京都千代田区内神田三丁目２４番４号 ９STAGE kanda3階,,https://presq.co.jp/contact,,,開発,E：未接触,未契約,,,
アイテザー株式会社,,https://itether.co.jp/,03-6721-0688,〒151-0051 東京都渋谷区千駄ヶ谷4-27-5 倖榮ビル7F,,https://itether.co.jp/#contact,,,開発（エージェント）,E：未接触,未契約,,,
日本ネクサス株式会社,,https://nexus-jp.co.jp/index.php#company,06-7710-8521,〒532-0011 大阪府大阪市淀川区西中島4-3-21　NLCセントラルビル5階,,https://nexus-jp.co.jp/index.php#contact,,,開発,E：未接触,未契約,,,
テクノブレイブ株式会社,,https://www.tbrave.com/service/,03-5577-3950,〒101-0047　東京都千代田区内神田1-2-8　楠本第2ビル2F,,https://www.tbrave.com/contact/,,,開発,E：未接触,未契約,,,
株式会社ビットエー,吉田 雅史,https://bita.jp/,,日本、〒141-0031 東京都品川区西五反田１丁目１−８ NMF五反田駅前ビル 7f,,https://bita.jp/contact/,経岩宗高,2024/03/15,Sier・コンサル,E：未接触,未契約,,クラウドテック,
株式会社スギ薬局,杉浦克典,https://www.drug-sugi.co.jp/,,日本、〒474-0011 愛知県大府市横根町新江６２−１,,,経岩宗高,2024/03/15,プロダクト,E：未接触,未契約,,,
テックプロパティジャパン株式会社,中山惠輔,https://www.techpro-j.com/,03-6843-1838,日本、〒141-0032 東京都品川区大崎３丁目５−２ エステージ大崎 6f,,https://www.techpro-j.com/,経岩宗高,2024/03/15,プロダクト,E：未接触,未契約,Python,クラウドテック,
株式会社さら,幅田 宗樹,https://www.sara.co.jp/,075-254-8313,日本、〒604-8205 京都府京都市中京区新町通三条下る三条町３３６ さら,,https://www.sara.co.jp/contact/,経岩宗高,2024/03/15,開発（プロダクト）,E：未接触,未契約,,クラウドテック,
株式会社不動産SHOPナカジツ,,https://nakajitsu.com/,0564-55-0015,〒444-0832　愛知県岡崎市羽根東町三丁目3番地9,,https://nakajitsu.com/corporation-sales/#sale_form,経岩宗高,2024/03/15,プロダクト,E：未接触,未契約,,クラウドテック,
株式会社Kamon,佐藤 拓弥, https://www.kamon-crest.co.jp/,,東京都港区南青山3-8-40 青山センタービル2F,,,経岩宗高,2024/03/17,Sier・コンサル,D：対応しない,未契約,案件サイト経由で先方からスカウト24年設立の会社で社長も若い,CloudLinks,
AKKODISコンサルティング株式会社,川崎　健一郎,https://www.akkodis.co.jp/,,港区芝浦3丁目4番1号 グランパークタワー3F,,https://forms.office.com/Pages/ResponsePage.aspx?id=s-m8E43DZEe2NiaVXDtXUOBwd5bkWjpAkck4NnbANWlUREM4OFRIQkMyTUVEU1BFNzA3UUdKSENTTy4u,経岩宗高,2024/03/17,Sier・コンサル,E：未接触,未契約,サイト内から連絡,AKKODIS,
,,,,,,,,,,,,,,
株式会社GLITTERS,見條 陽亮,https://glitters-inc.com/,,東京都品川区上大崎2-15-19 MG目黒駅前,,https://glitters-inc.com/contact/,経岩宗高,2024/03/18,開発（エージェント）,D：対応しない,未契約,AKKODIS経由のスカウトで連絡,AKKODIS,
リトルファミリー少額短期保険株式会社,板谷和彦,https://www.littlefamily-ssi.com/,,東京都品川区東五反田 5-22-33 TK池田山ビル WeWork,,,経岩宗高,2024/03/18,プロダクト,E：未接触,未契約,,クラウドテック,
GAOGAO,Takuma Hanaya,https://gaogao.asia/,,"51 GOLDHILL PLAZA, #07-10/11, 308900, Singapore",,https://gaogao.asia/contact/,経岩宗高,2024/03/18,開発,C：サスペクト,未契約,"協業の案件ありそう　ブロックチェーン
ベトナム子会社
GAOGAO VIETNAM CO., LTD.
WeWork E. Town Central, 11 Doan Van Bo, Ward 13, District 4, Ho Chi Minh, Vietnam",テックダイレクト,
株式会社Senyou,井上紫音,https://senyou.dev/,,東京都渋谷区恵比寿4丁目20号4番 恵比寿ガーデンプレイス　グラススクエアB1F,,https://senyou.dev/contact,経岩宗高,2024/03/19,開発（エージェント）,E：未接触,未契約,,Cloud tech,
株式会社ニコラ,吉村 光八,https://nicola-inc.co.jp/#,,"日本、〒141-0031 東京都品川区西五反田７丁目２２−１７ TOCビル 12f,46",,,経岩宗高,2024/03/19,開発（プロダクト）,E：未接触,未契約,案件サイト内から連絡済み,テックダイレクト,
株式会社ノヴィータ,三好怜子,https://www.novitanet.com/,,日本、〒151-0061 東京都渋谷区初台１丁目５１−１ 初台センタービル 510,,https://docs.google.com/forms/d/e/1FAIpQLSdekIgve5hA0Aj9FwpiUi2wBd37WHFM0b1cChgWNABu1pUqAw/viewform,経岩宗高,2024/03/19,開発（エージェント）,E：未接触,未契約,1回目サイト内から直接応募,テックダイレクト,2024/05/16
株式会社ドクターズプライム,田真茂,https://drsprime.com/,,日本、〒111-0035 東京都台東区西浅草２丁目２７−７ 2階,,https://docs.google.com/forms/d/e/1FAIpQLSdp9i7EL91AoYW21VlRyzJ857HkYT5yWQwZGMsZX29hlQIwew/viewform,経岩宗高,2024/03/19,プロダクト,E：未接触,未契約,,クラウドテック,
株式会社 LOWCAL,田村 淳,https://l-owcal.com/,03 6809 0467,日本、〒150-0021 東京都渋谷区恵比寿西１丁目９−６ アストゥルビル 5f,info@l-owcal.com,https://l-owcal.com/contact/,経岩宗高,2024/03/19,開発,E：未接触,未契約,サイト内から直接連絡,AKKODIS,
株式会社トラストフィールディング,下原寛史,https://www.trustfielding.com/,,日本、〒160-0023 東京都新宿区西新宿１丁目２６−２ 新宿野村ビル 32階,partner@trust-fielding.co.jp,https://www.trustfielding.com/%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E5%8B%9F%E9%9B%86,経岩宗高,2024/03/22,開発（エージェント）,B：リード,未契約,,クラウドリンクス,
株式会社ユニメディア,末田真,https://unimedia.co.jp/,,東京都千代田区内幸町2-2-3 　日比谷国際ビル6F,,https://unimedia.co.jp/contact/,経岩宗高,2024/03/22,プロダクト,E：未接触,未契約,クラウドリンクスと両方から連絡済み,クラウドリンクス,
みらいソリューション株式会社,井波,https://miraisol.com/,,〒220-0004 神奈川県横浜市西区北幸1丁目1-8 エキニア横浜ビル3F,,https://miraisol.com/contact,経岩宗高,2024/03/25,エージェント,D：対応しない,,,,
E-kan株式会社,村岡友樹,https://e-kan.tokyo/,,〒150-0012 東京都渋谷区広尾1丁目4-15　エストレーヤ広尾202,hr@e-kan.tokyo,https://e-kan.tokyo/ajaxmail/index.html,経岩宗高,2024/03/22,開発（エージェント）,E：未接触,未契約,サイト内でやり取り済み,アサインナビ,
株式会社スペースシフト,金本成生,https://www.spcsft.com/,,日本、〒100-0004 東京都千代田区大手町１丁目６−１ 大手町ビルヂング ６階,,https://share.hsforms.com/1-fFRnQR2QwW3c-zOTCAanQ5m0z8,経岩宗高,2024/03/25,プロダクト,E：未接触,未契約,,クラウドテック,
BASE株式会社,鶴岡 裕太,https://binc.jp/,03-6416-5450,日本、〒106-0032 東京都港区六本木３丁目２−１ 住友不動産六本木グランドタワー 37f,,https://binc.jp/contacts/contact,経岩宗高,2024/03/25,プロダクト,E：未接触,未契約,,クラウドテック,
